genres_1,type,followers_total,genres_3,genres_2,id,name,popularity
new beat,artist,7640607,,tamil pop,2FgHPfRprDaylrSRVf1UlN,Thaman S,71
tollywood,artist,3983840,,,3AMxH9QIPZbK8ND8C9j4Ss,Mani Sharma,60
filmi,artist,14128061,,kollywood,6AiX12wXdXFoGJ2vk8zBjy,Yuvan Shankar Raja,76
filmi,artist,51364337,,,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,81
filmi,artist,886038,,tollywood,4xlqU0G9EloUPHL1qlmWY6,Gopi Sundar,65
tollywood,artist,1932073,,,7puWXcCM8Li3HnKrxc1bEH,Chakri,52
filmi,artist,11366641,,modern bollywood,0sSxphmGskGCKlwB9xa6WU,Himesh Reshammiya,67
tollywood,artist,1524421,,,05ppw2jwDfW9zo4mj6HNXp,Anup Rubens,48
desi hip hop,artist,9974256,tamil pop,tamil hip hop,7zFBW2JxM4bgTTKxCRcS8Q,Hiphop Tamizha,71
tollywood,artist,316732,,,0L5f9aJIaxQXTipZ7uQYiC,Bheems Ceciroleo,59
,artist,9302,,,0YpuXLh1Ck69AHkdfVyqXK,Prashant Pillai,33
tollywood,artist,9169624,,,5sSzCxHtgL82pYDvx2QyEU,Devi Sri Prasad,71
kollywood,artist,11717212,,tamil pop,5VVN3xZw1i2qihfITZlvCZ,G. V. Prakash,72
filmi,artist,5971683,tamil pop,kollywood,6CtYzQvENTdGq5LPPsePdV,Vijay Antony,66
tollywood,artist,959114,,,4TkLTkst9LQlJ0zAmXtXmv,Ramana Gogula,53
,artist,62,,,30106NcSlqGvsHC5gHzuMV,Gibrran,0
tollywood,artist,495687,,,5w6bUd0SJtvdQ99pZm83PJ,Kalyani Malik,43
vintage tollywood,artist,2487220,,,12l1SqSNsg2mI2IcXpPWjR,M. M. Keeravaani,60
,artist,69,,,1r1OzQa3UTOd13rRVQ4nQM,Srinu Vaitla,3
,artist,183,,,6rJEPOU61Xa5igQ7Dleloz,Sathya.C,0
desi hip hop,artist,31721572,tamil hip hop,filmi,4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,83
,artist,11697,,,1Fp2NbOlCFFrrkc29QbhBC,Chirantan Bhatt,34
mollywood,artist,158931,,,4kbWDG96QZ2HkyVl9l1EmL,Rahul Raj,53
,artist,1860,,,5X8nhiwO1lFtQKNKZGr7BF,Micky J.Meyer,24
,artist,39711,,,24QEOAXm9MO3WypnMbFNSN,Sai Kartheek,27
tollywood,artist,407815,,,4ZTli8xiH8txCfWJtulNXQ,Sunil Kashyap,37
filmi,artist,8281918,,,29aw5YCdIw2FEXYyAJZI8l,Harris Jayaraj,73
tollywood,artist,1094603,,,0WiZi3Q419nMpAQEqfBCbk,Mickey J. Meyer,60
tamil pop,artist,313482,,,43IDw3YzwADpAkdEzP81SZ,Joshua Sridhar,42
tollywood,artist,491825,,,5ds7YHzRIeaGrAKGPR62fA,Shekar Chandra,58
,artist,2510073,,,0LyfQWJT6nXafLPZqxe9Of,Various Artists,0
filmi,artist,850202,,tollywood,5a2WF7juQ5oilpZCqikRtP,Rahul Nambiar,59
,artist,236,,,6qSiFzVEvHrioKS539lnCm,"Hiphop Tamizha,Deepak",2
filmi,artist,911791,,,2LMljlTXjGr7jPZOBmK9My,S.A. Rajkumar,51
,artist,58,,,0C8QnUaq8Qh9om93L7UYpZ,Achchu,0
tollywood,artist,89817,,,7GukH9jLUDZnIetjYfV704,Sai Karthik,28
tollywood,artist,649972,,,27UbUuYAM8Hc1BZKlydOB0,Raghu Kunche,45
tamil pop,artist,479430,,tollywood,13M1OXRslYiaRoeaUx75uY,Achu,49
vintage tollywood,artist,1015448,,,6RO7sGAsA3D9HjYUQdEYnM,Koti,32
filmi,artist,9007005,,modern bollywood,6Mv8GjQa7LKUGCAqa9qqdb,Vishal-Shekhar,75
,artist,95365,,,4eqUmWQwI1nm86edvyGsXy,Sandeep Chowta,44
filmi,artist,4337960,,,0LSPREIgGMZXCuKVel7LVD,Karthik,74
filmi,artist,25836129,,modern bollywood,0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,83
,artist,1683,,,0rWg7UO7hhMRXZghjbD0Us,Selva Ganesh,7
classic kollywood,artist,11740571,,filmi,3m49WVMU4zCkaVEKb8kFW7,Ilaiyaraaja,70
kollywood,artist,260195,,tamil pop,2ZBMhU2xbBH3G4dEGGjsfo,Sundar C. Babu,40
tamil pop,artist,331258,,,3ocTwOjekTkFdD695eKuQr,Justin Prabhakaran,56
tollywood,artist,730562,,,4A2XSc4OJjuPY4l6NjnrDj,Ram Miriyala,61
,artist,108802,,,3Aqv1id9EeqBbvc71ipoY4,Radhakrishnan,0
,artist,372,,,3c8fpQxdaCb3dtwXHOTCFc,Praveen Lakaraju,0
tollywood,artist,1002397,,,6CWBs7ul78QwnBrcOCwhf5,Sagar,59
filmi,artist,775718,,tamil pop,3jw2v5ZbSWBinNaECXq8cJ,Ghibran,60
,artist,55,,,0MxrLrq7vFme5jY2PPwmsO,Harrish Jayaraj,0
mollywood,artist,392677,,,3Q80PCEUBCiRhLSWdQApNt,Jakes Bejoy,64
tollywood,artist,26492,,,7uc8AizyyDG8ujFdTxZ7q5,Chaitan Bharadwaj,49
sandalwood,artist,29363,,,4penrzAbWok4rhnaZuwF9V,Judah Sandhy,25
tollywood,artist,643890,,,4tejKImNVmDcORNBuZ1l14,Kala Bhairava,58
filmi,artist,9161476,,modern bollywood,7HCqGPJcQTyGJ2yqntbuyr,Amit Trivedi,69
filmi,artist,16413612,,,7qjJw7ZM2ekDSahLXPjIlN,Sid Sriram,75
filmi,artist,10461368,,,1SJOL9HJ08YOn92lFcYf8a,Shankar Mahadevan,76
tamil pop,artist,16788,,tollywood,0NCSUqKWDdQrLf7688pRa6,Sudharshan Ashok,54
tamil pop,artist,521855,,tollywood,0rL4uL3xfYOt2p7NHhS8qr,Vishal Chandrashekhar,61
tollywood,artist,88225,,,7w4ACCsPEsD4KTxUNPXftc,Sweekar Agasthi,40
filmi,artist,309815,,tamil pop,5AWtJTaoFmLLrPwDR5dLPB,Govind Vasantha,62
,artist,21,,,5f7vanPKdVpeby5G3UQjRr,Marc D Muse,2
tollywood,artist,2308031,,,1pDF5UltcypyatITA3Pduo,Mangli,59
filmi,artist,862212,,tamil pop,5VAyiDhBinVfc6RM5RKnLa,Sam C.S.,62
filmi,artist,2639395,,tamil pop,5FVBduYaeVBb6JIghza7v6,Santhosh Narayanan,73
tollywood,artist,155559,,,27dNKsHZrQKGnAlFCLDlzd,Mahati Swara Sagar,52
filmi,artist,525451,,,3cowxATurZfjWsJC4uEHsl,Jassie Gift,60
tamil pop,artist,50360,,,5FOhBMFQo0pDhvISlFmxdi,Radhan,49
classic tollywood,artist,6416,,,3T0lUjLJ29ApjVCaVxdLfx,Shravan Bharadwaj,33
tollywood,artist,1409743,,,00hL0oJD4pWef0kPYIaSTy,R. P. Patnaik,52
tamil pop,artist,338058,,,0wv5i0ds2z040yx7oL6UZy,Leon James,60
,artist,3283,,,26FsIvdczntiZCsifDzKOK,Pawan Ch,41
telugu indie,artist,37827,,,3lnECmHir8dXsqVV0QuruT,Sricharan Pakala,38
sandalwood,artist,1041903,,,2q1LRGJHpFxovU8Tz6OgRn,Ravi Basrur,60
,artist,1059,,,579pH2PjdCVSkAyFBv2Z8g,K M Radhakrishnan,38
tollywood,artist,23199,,,0goFlPiv6xhrgMwqwUss9Z,MM Sreelekha,47
tollywood,artist,627501,,,78eKGjMa7yG0HpHyo8W3kA,Raj-Koti,24
tollywood,artist,790546,,,5DxwUWyGp1uejyE80iJcn0,Dhanunjay Seepana,54
classic kollywood,artist,998695,,,4Ql23JSzeRcVgkYBqGwDMs,Dhina,44
,artist,10,,,2RoNZ4xq4lxEcH5ECMs8Ev,"Sid Sriram,Shashaa Tirupati",0
indian lo-fi,artist,19389,,,4bOqW6xGi7n9315ErmJ2Um,Sunny M.R.,52
filmi,artist,14382726,,,2ae6PxICSOZHvjqiCcgon8,S. P. Balasubrahmanyam,78
tollywood,artist,76742,,,6lbIfNTi7YjJwrlu2R9j6m,S.V.Krishna Reddy,39
filmi,artist,3245938,,kollywood,5TB837uKG65w8Jnz5D0bS5,Vidyasagar,68
mollywood,artist,345344,,,50iBEPSw6kQ8GQkumXz7XZ,Hesham Abdul Wahab,65
vintage tollywood,artist,270242,,,5M6rduuHHdpdGS0CdPZ79h,Kamalakar,29
tollywood,artist,46783,,,7Fa8B0rJSmeeGjYCJJXrb3,Vivek Sagar,40
sandalwood,artist,55258,,,6oyTfygD0Skzy7RZOdUAZp,Midhun Mukundan,50
tollywood,artist,1735825,,,6LWyVEIBnx7MoRBhQxu9om,Anurag Kulkarni,66
filmi,artist,969261,,tollywood,26R3WRFIf6FbbNAQuMIjkN,Hemachandra Vedala,57
,artist,133,,,4rdoMv9JKSHf8sbKq17EcR,SS Thaman,0
telugu indie,artist,403407,,tollywood,2nWYQRy7Ikh7CyWnvZZouD,Mohana Bhogaraju,49
desi pop,artist,288833,,modern bollywood,3pQ4aA7dkolyjUAMrVScgh,Manan Bhardwaj,64
